"Index","Status","Id","ParentId","Type","Title","Error"
"1","OK","358","353","Bug","P0-001: Foundry / AI Services account is single-region",""
"2","OK","359","353","Bug","P0-002: Foundry Project + Agent Service single-instance",""
"3","OK","360","353","Bug","P0-003: Cosmos DB NoSQL is serverless single-region",""
"4","OK","361","353","Bug","P0-004: VNet / NSG / Private DNS / PE single-region",""
"5","OK","362","353","Bug","P0-005: Single Bicep `location` parameter",""
"6","OK","363","353","Bug","P0-006: `azureAiServiceLocation` pins single Foundry account",""
"7","OK","364","353","Bug","P0-007: `enableRedundancy=false` default",""
"8","OK","365","353","Bug","P0-008: Orchestration uses InMemoryCheckpointStorage",""
"9","OK","366","353","Bug","P0-009: Pre-approval MPlan held in `asyncio.Event`",""
"10","OK","367","353","Bug","P0-010: WebSocket connection map is in-memory",""
"11","OK","368","353","Bug","P0-011: BackgroundTasks orphans `in_progress` plans",""
"12","OK","369","353","Bug","P0-012: Approval / clarification routes lack idempotency keys",""
"13","OK","370","353","Bug","P0-013: Cosmos serverless cannot be promoted in place",""
"14","OK","371","353","Bug","P0-014: Cosmos unavailable / regional outage unhandled (F1)",""
"15","OK","372","353","Bug","P0-015: Cosmos 429 RU throttling unhandled (F2)",""
"16","OK","373","353","Bug","P0-016: OpenAI 5xx / regional outage unhandled (F5)",""
"17","OK","374","353","Bug","P0-017: Foundry / AI Project unavailable unhandled (F6)",""
"18","OK","375","353","Bug","P0-018: WebSocket disconnect / replica failover (F12)",""
"19","OK","376","353","Bug","P0-019: Pod restart mid-orchestration (F13)",""
"20","OK","377","353","Bug","P0-020: Approval / clarification 404 after restart (F14)",""
"21","OK","378","353","Bug","P0-021: `/healthz` returns healthy regardless of dependency state",""
"22","OK","379","353","Bug","P0-022: External ACR `biabcontainerreg.azurecr.io`",""
"23","OK","380","353","Bug","P0-023: Jumpbox admin password fallback literal",""
"24","OK","381","353","Bug","P0-024: No GLB / Front Door / App Gateway / Traffic Manager",""
"25","OK","382","353","Bug","P0-025: `/healthz` registered with `checks={}` (implementation evidence; cross-ref P0-021)",""
"26","OK","383","353","Bug","P0-026: Backend has no auth enforcement at Container App ingress",""
"27","OK","384","353","Bug","P0-027: `sample_user` all-zeros principal fallback",""
"28","OK","385","353","Bug","P0-028: MCP server runs unauthenticated when `enable_auth=True` but JWKS/issuer/audience env vars are unset",""
"29","OK","386","353","Bug","P0-029: WebSocket `user_id` accepted from query param without token validation",""
"30","OK","387","353","Bug","P0-030: Cosmos PE only in primary while Cosmos fails over",""
"31","OK","388","353","Bug","P1-001: Azure OpenAI deployments single-region",""
"32","OK","389","353","Bug","P1-002: Azure AI Search 1×1 + public network, single-region",""
"33","OK","390","353","Bug","P1-003: Container Apps + Environment zone redundancy gated",""
"34","OK","391","353","Bug","P1-004: App Service + Plan zone redundancy gated",""
"35","OK","392","353","Bug","P1-005: Container Registry no geo-replication",""
"36","OK","393","353","Bug","P1-006: Storage Blob default replication (LRS)",""
"37","OK","394","353","Bug","P1-007: Entra ID + UAMI cross-region readiness",""
"38","OK","395","353","Bug","P1-008: Bastion zone-redundancy not configured",""
"39","OK","396","353","Bug","P1-009: Windows Jumpbox VM zone-1 pinned + PPG",""
"40","OK","397","353","Bug","P1-010: App Service Easy Auth single-tenant config",""
"41","OK","398","353","Bug","P1-011: MCP JWT/JWKS single-region issuer config",""
"42","OK","399","353","Bug","P1-012: External `biabcontainerreg.azurecr.io` shared registry",""
"43","OK","400","353","Bug","P1-013: Hard-coded Cosmos region-pair map",""
"44","OK","401","353","Bug","P1-014: Hard-coded Log Analytics replica region pairs",""
"45","OK","402","353","Bug","P1-015: Jumpbox + PPG zone-1 / Bastion no zones",""
"46","OK","403","353","Bug","P1-016: AI Search 1×1 + public network",""
"47","OK","404","353","Bug","P1-017: Backend env hardcodes single-region URLs",""
"48","OK","405","353","Bug","P1-018: CosmosClient has no `preferred_locations`",""
"49","OK","406","353","Bug","P1-019: Single ACR hostname for all workloads",""
"50","OK","407","353","Bug","P1-020: Storage AVM no `skuName` / `enableRedundancy` not threaded",""
"51","OK","408","353","Bug","P1-021: `upsert_item` no `_etag` / optimistic concurrency",""
"52","OK","409","353","Bug","P1-022: `except Exception` swallows 429 / 503",""
"53","OK","410","353","Bug","P1-023: Multi-region writes never enabled",""
"54","OK","411","353","Bug","P1-024: Singleton CosmosClient no preferred regions",""
"55","OK","412","353","Bug","P1-025: Container Apps revisionsMode Single, no graceful drain",""
"56","OK","413","353","Bug","P1-026: DatabaseFactory / app_config no health-driven invalidation",""
"57","OK","414","353","Bug","P1-027: WebSocket emit best-effort no retry / ack",""
"58","OK","415","353","Bug","P1-028: Partial agent_stream_buffers dropped",""
"59","OK","416","353","Bug","P1-029: Cosmos DNS / Private Endpoint failure (F3)",""
"60","OK","417","353","Bug","P1-030: OpenAI 429 retry exhausted (F4)",""
"61","OK","418","353","Bug","P1-031: AI Search unavailable / index missing (F7)",""
"62","OK","419","353","Bug","P1-032: Storage Blob unavailable (F8)",""
"63","OK","420","353","Bug","P1-033: ACR pull failure blocks cold-start (F9)",""
"64","OK","421","353","Bug","P1-034: Entra ID token failure (F11)",""
"65","OK","422","353","Bug","P1-035: Web App proxy timeout (F17)",""
"66","OK","423","353","Bug","P1-036: AVM Bicep modules cross-repo dependency",""
"67","OK","424","353","Bug","P1-037: `agent_framework` SDK pre-release pins",""
"68","OK","425","353","Bug","P1-038: MCP shared image single-FQDN",""
"69","OK","426","353","Bug","P1-039: Foundry agent metadata seed coupling",""
"70","OK","427","353","Bug","P1-040: Web App `/health` static literal; MCP HEALTHCHECK unregistered",""
"71","OK","428","353","Bug","P1-041: Retry coverage limited to OpenAI 429",""
"72","OK","429","353","Bug","P1-042: DefaultAzureCredential / MIC without `tenant_id`",""
"73","OK","430","353","Bug","P1-043: No retry / backoff / fallback on `get_access_token`",""
"74","OK","431","353","Bug","P1-044: Single UAMI sole RBAC subject across data planes",""
"75","OK","432","353","Bug","P1-045: Container Apps `ingressExternal: true`",""
"76","OK","433","353","Bug","P1-046: App Service publicNetworkAccess Enabled",""
"77","OK","434","353","Task","P2-001: Application Insights single regional component",""
"78","OK","435","353","Task","P2-002: Log Analytics workspace single-region by default",""
"79","OK","436","353","Task","P2-003: Cosmos paired-region table covers only 10 regions",""
"80","OK","437","353","Task","P2-004: Cosmos `defaultConsistencyLevel` not set",""
"81","OK","438","353","Task","P2-005: Hot-path queries miss `/session_id` partition key",""
"82","OK","439","353","Task","P2-006: `DatabaseFactory` not closed on lifespan shutdown",""
"83","OK","440","353","Task","P2-007: Cosmos backup policy not set in IaC",""
"84","OK","441","353","Task","P2-008: Storage blob versioning / PITR / change feed disabled",""
"85","OK","442","353","Task","P2-009: `upload-batch --overwrite` without concurrency control",""
"86","OK","443","353","Task","P2-010: Cosmos `Session` consistency not pinned",""
"87","OK","444","353","Task","P2-011: Telemetry exporter drops events silently",""
"88","OK","445","353","Task","P2-012: Pinned Microsoft Python SDKs and version drift",""
"89","OK","446","353","Task","P2-013: GitHub Actions tag-pinned, not SHA-pinned",""
"90","OK","447","353","Task","P2-014: VNet `10.0.0.0/8` and subnets hardcoded",""
"91","OK","448","353","Task","P2-015: SAMI on Web/Storage while RBAC uses UAMI",""
"92","OK","449","353","Task","P2-016: No readiness gate for Entra RBAC propagation",""
"93","OK","450","353","Task","P2-017: FastAPI `CORSMiddleware` `allow_origins=[""*""]`",""
"94","OK","451","353","Task","P2-018: Startup identity-coupled with no degraded-mode",""
"95","OK","452","353","Task","P2-019: AI Foundry `networkAcls.defaultAction: Allow`",""
"96","OK","453","353","Task","P2-020: Storage `networkAcls.bypass: AzureServices`",""
"97","OK","454","353","Task","P2-021: No route tables, NAT Gateway, or DDoS plan",""
"98","OK","455","353","Task","P2-022: Insufficient observability for silent-failure triage",""
"99","OK","456","353","Task","P3-001: DCR for jumpbox tied to single workspace",""
"100","OK","457","353","Task","P3-002: Sync and async `CosmosClient` coexist",""
"101","OK","458","353","Task","P3-003: `delete_*` returns `True` regardless of outcome",""
"102","OK","459","353","Task","P3-004: Easy Auth fallback to `sample_user` principal",""
"103","OK","460","353","Task","P3-005: MCP `JWTVerifier` JWKS unreachable when auth enabled",""
"104","OK","461","353","Task","P3-006: External base-image registries used at build time",""
"105","OK","462","353","Task","P3-007: PyPI / npm reachable at deploy-script time",""
"106","OK","463","353","Task","P3-008: Microsoft Entra ID is the global identity plane",""
"107","OK","464","353","Task","P3-009: Container images use mutable `latest_v4` tag",""
